datetime	www status 204 hit count	www status 304 hit count	www status 206 hit count	www status 200 hit count	www status 500 hit count	www status 403 hit count	www status 301 hit count	www status 302 hit count	www status 404 hit count
2009/03/31 02:00:00				1					1
2009/04/06 02:00:00				1					1
2009/04/07 02:00:00				2					1
2009/04/10 02:00:00				1					1
2009/04/11 02:00:00	5	18		267				4	1
2009/04/12 02:00:00									2
2009/04/14 02:00:00	4	19		286				6	
2009/04/15 02:00:00				1					1
2009/04/16 02:00:00				1					
2009/04/17 02:00:00				38					1
2009/04/18 02:00:00		1		31					
2009/04/19 02:00:00				68					2
2009/04/20 02:00:00		6		44					1
2009/04/21 02:00:00				78					1
2009/04/22 02:00:00				3					2
2009/04/23 02:00:00				2					2
2009/04/24 02:00:00				50					1
2009/04/25 02:00:00	11	46		460				7	1
2009/04/26 02:00:00	5	7		145				3	6
2009/04/27 02:00:00		12		37					1
2009/04/28 02:00:00		9		88					2
2009/04/29 02:00:00		53		109					1
2009/04/30 02:00:00		1		37					
2009/05/01 02:00:00			5	167					1
2009/05/02 02:00:00				12					1
2009/05/03 02:00:00		10		88					1
2009/05/04 02:00:00	166	283		481				66	1
2009/05/05 02:00:00	35	108		267					2
2009/05/06 02:00:00	51	294	1	332					2
2009/05/07 02:00:00	17	55	1	187					2
2009/05/08 02:00:00	66	358		388					
2009/05/09 02:00:00				3					1
2009/05/10 02:00:00	4	1		93					1
2009/05/11 02:00:00	2	48		10					1
2009/05/12 02:00:00	65	24	1	390					2
2009/05/13 02:00:00	16	39	2	155					3
2009/05/14 02:00:00	47	120	2	279					2
2009/05/15 02:00:00	118	110	1	800				21	5
2009/05/16 02:00:00	23	6		203				4	3
2009/05/17 02:00:00	7	18	5	154					1
2009/05/18 02:00:00	12	18		207					2
2009/05/19 02:00:00	1	13		10					2
2009/05/20 02:00:00	22			158					2
2009/05/21 02:00:00	2	3		53					4
2009/05/22 02:00:00	8	24		163					2
2009/05/23 02:00:00	19	48		183					3
2009/05/24 02:00:00	5	5		90					2
2009/05/25 02:00:00	8	1		155					2
2009/05/26 02:00:00	8	26		77					2
2009/05/27 02:00:00	5			44					1
2009/05/28 02:00:00	24	24		110					3
2009/05/29 02:00:00	21	1		157					1
2009/05/30 02:00:00				6					1
2009/05/31 02:00:00	1			41					2
2009/06/01 02:00:00	2	24		48					3
2009/06/02 02:00:00	3	1		114					4
2009/06/03 02:00:00	14		5	170					3
2009/06/04 02:00:00	17	38		216				2	2
2009/06/05 02:00:00				8					1
2009/06/06 02:00:00	6	15		124					2
2009/06/07 02:00:00	4	24		59					2
2009/06/08 02:00:00	39	57	1	392					
2009/06/09 02:00:00	33	58		299					1
2009/06/10 02:00:00	43	48		423					5
2009/06/11 02:00:00	9	58		109					2
2009/06/12 02:00:00	26	2		292					1
2009/06/13 02:00:00	13	1		126					2
2009/06/14 02:00:00	21	3	3	325					1
2009/06/15 02:00:00	85	691	19	868					6
2009/06/16 02:00:00	76	1		747					2
2009/06/17 02:00:00	35	121	2	330					4
2009/06/18 02:00:00	19	32		330					1
2009/06/19 02:00:00	91	228	3	700					4
2009/06/20 02:00:00	21	35		235					1
2009/06/21 02:00:00	8	1		135					2
2009/06/22 02:00:00	31	123	1	345					3
2009/06/23 02:00:00	14	14		364				3	2
2009/06/24 02:00:00	24	61		233					5
2009/06/25 02:00:00	2	2		61					2
2009/06/26 02:00:00	56	13		264					3
2009/06/27 02:00:00	54	149	6	441					10
2009/06/28 02:00:00	77	38	1	576					3
2009/06/29 02:00:00	103	125	1	739					2
2009/06/30 02:00:00	81	92	7	850				5	4
2009/07/01 02:00:00	15	50	3	306					2
2009/07/02 02:00:00	32	13		334					3
2009/07/03 02:00:00	29	6	3	329					1
2009/07/04 02:00:00	23	33		341					2
2009/07/05 02:00:00		1		4					2
2009/07/06 02:00:00	14	24		298					3
2009/07/07 02:00:00	31	353	3	249					1
2009/07/08 02:00:00	6	18		102					4
2009/07/09 02:00:00	29	4	4	268					3
2009/07/10 02:00:00	51	17		397					4
2009/07/11 02:00:00	10	3		116					2
2009/07/12 02:00:00	34	49		252					3
2009/07/13 02:00:00	40	34		334					3
2009/07/14 02:00:00	28	3		277					1
2009/07/15 02:00:00	13	1		119					2
2009/07/16 02:00:00	50	2	18	422					8
2009/07/17 02:00:00	43	64	3	339					4
2009/07/18 02:00:00	16	2	7	203					4
2009/07/19 02:00:00	41	3	38	413					14
2009/07/20 02:00:00	17	2	3	265					2
2009/07/21 02:00:00	17	22	1	210					2
2009/07/22 02:00:00	33	6	2	425					8
2009/07/23 02:00:00	116	245		891		1		29	6
2009/07/24 02:00:00	96	166		1443				4	8
2009/07/25 02:00:00	78	113	1	1169					11
2009/07/26 02:00:00	156	288	10	1595				23	25
2009/07/27 02:00:00	497	843	11	5094					59
2009/07/28 02:00:00	242	458	21	2592				1	44
2009/07/29 02:00:00	226	428	5	1958					37
2009/07/30 02:00:00	113	179	4	1407					28
2009/07/31 02:00:00	71	92	9	1049					21
2009/08/01 02:00:00	58	252	15	1100					23
2009/08/02 02:00:00	36	169	5	756					20
2009/08/03 02:00:00	56	20		848					14
2009/08/04 02:00:00	80	77	3	1302					18
2009/08/05 02:00:00	66	47	2	910					10
2009/08/06 02:00:00	78	49	3	951					10
2009/08/07 02:00:00	90	160	3	819					8
2009/08/08 02:00:00	29	21	2	457					12
2009/08/09 02:00:00	97	134	3	1014		1		22	9
2009/08/10 02:00:00	52	55	1	869					13
2009/08/11 02:00:00	31	16	2	352					11
2009/08/12 02:00:00	46	45	2	527					5
2009/08/13 02:00:00	9	22	2	221					12
2009/08/14 02:00:00	12	64	1	244					4
