"datetime"	"www status 200 hit count"
"2009/03/31 02:00:00"	1
"2009/04/06 02:00:00"	1
"2009/04/07 02:00:00"	2
"2009/04/10 02:00:00"	1
"2009/04/11 02:00:00"	267
"2009/04/14 02:00:00"	286
"2009/04/15 02:00:00"	1
"2009/04/16 02:00:00"	1
"2009/04/17 02:00:00"	38
"2009/04/18 02:00:00"	31
"2009/04/19 02:00:00"	68
"2009/04/20 02:00:00"	44
"2009/04/21 02:00:00"	78
"2009/04/22 02:00:00"	3
"2009/04/23 02:00:00"	2
"2009/04/24 02:00:00"	50
"2009/04/25 02:00:00"	460
"2009/04/26 02:00:00"	145
"2009/04/27 02:00:00"	37
"2009/04/28 02:00:00"	88
"2009/04/29 02:00:00"	109
"2009/04/30 02:00:00"	37
"2009/05/01 02:00:00"	167
"2009/05/02 02:00:00"	12
"2009/05/03 02:00:00"	88
"2009/05/04 02:00:00"	481
"2009/05/05 02:00:00"	267
"2009/05/06 02:00:00"	332
"2009/05/07 02:00:00"	187
"2009/05/08 02:00:00"	388
"2009/05/09 02:00:00"	3
"2009/05/10 02:00:00"	93
"2009/05/11 02:00:00"	10
"2009/05/12 02:00:00"	390
"2009/05/13 02:00:00"	155
"2009/05/14 02:00:00"	279
"2009/05/15 02:00:00"	800
"2009/05/16 02:00:00"	203
"2009/05/17 02:00:00"	154
"2009/05/18 02:00:00"	207
"2009/05/19 02:00:00"	10
"2009/05/20 02:00:00"	158
"2009/05/21 02:00:00"	53
"2009/05/22 02:00:00"	163
"2009/05/23 02:00:00"	183
"2009/05/24 02:00:00"	90
"2009/05/25 02:00:00"	155
"2009/05/26 02:00:00"	77
"2009/05/27 02:00:00"	44
"2009/05/28 02:00:00"	110
"2009/05/29 02:00:00"	157
"2009/05/30 02:00:00"	6
"2009/05/31 02:00:00"	41
"2009/06/01 02:00:00"	48
"2009/06/02 02:00:00"	114
"2009/06/03 02:00:00"	170
"2009/06/04 02:00:00"	216
"2009/06/05 02:00:00"	8
"2009/06/06 02:00:00"	124
"2009/06/07 02:00:00"	59
"2009/06/08 02:00:00"	392
