datetime	web1 dynamic requests duration average	web1 dynamic requests duration min	web1 dynamic requests duration max
2011/01/24 17:26:00	1523.043	1025	12069
2011/01/24 17:26:20	4090.75	1023	23635
2011/01/24 17:26:40	4347.319	1001	21859
2011/01/24 17:27:00	4158.602	1009	21758
2011/01/24 17:27:20	4102.248	1019	21811
2011/01/24 17:27:40	4141.15	1007	21927
2011/01/24 17:28:00	4744.507	990	22496
2011/01/24 17:28:20	5484.151	991	23868
2011/01/24 17:28:40	4907.459	1017	23115
2011/01/24 17:29:00	5789.701	1012	22506
2011/01/24 17:29:20	6054.581	1015	22652
2011/01/24 17:29:40	5154.216	1000	23717
2011/01/24 17:30:00	5322.696	999	22630
2011/01/24 17:30:20	5571.036	1013	23294
2011/01/24 17:30:40	5188.299	1020	22490
2011/01/24 17:31:00	5255.928	1014	22361
2011/01/24 17:31:20	5806.875	1004	24520
2011/01/24 17:31:40	5855.969	983	23086
2011/01/24 17:32:00	5244.91	1012	23483
2011/01/24 17:32:20	5673.536	1007	23617
2011/01/24 17:32:40	5432.104	1013	21981
2011/01/24 17:33:00	5157.987	1013	21701
2011/01/24 17:33:20	5911.626	1016	22668
2011/01/24 17:33:40	4773.893	1011	22406
2011/01/24 17:34:00	5648.475	972	22371
2011/01/24 17:34:20	5376.287	1002	22027
2011/01/24 17:34:40	5284.81	1016	21940
2011/01/24 17:35:00	5456.117	991	23376
2011/01/24 17:35:20	5164.154	1004	21916
2011/01/24 17:35:40	5174.571	1012	21958
2011/01/24 17:36:00	5818.841	998	22842
2011/01/24 17:36:20	5119.709	1014	22346
2011/01/24 17:36:40	5747.899	1017	23774
2011/01/24 17:37:00	5225.922	1004	22133
2011/01/24 17:37:20	5223.291	987	24914
2011/01/24 17:37:40	5431.089	1000	22178
2011/01/24 17:38:00	5324.445	1005	22069
2011/01/24 17:38:20	5137.044	1007	22760
2011/01/24 17:38:40	5678.665	988	22138
2011/01/24 17:39:00	4793.931	995	21686
2011/01/24 17:39:20	5732.872	1013	22305
2011/01/24 17:39:40	5439.283	994	21933
2011/01/24 17:40:00	5129.895	1007	22448
2011/01/24 17:40:20	5551.429	1010	23420
2011/01/24 17:40:40	5457.337	1005	25984
2011/01/24 17:41:00	5210.993	1012	22770
2011/01/24 17:41:20	5260.976	871	22948
2011/01/24 17:41:40	5689.43	1016	22123
2011/01/24 17:42:00	5169.741	1018	22820
2011/01/24 17:42:20	5536.173	1014	22470
2011/01/24 17:42:40	5412.192	991	22312
2011/01/24 17:43:00	5352.95	989	22845
2011/01/24 17:43:20	5253	997	22633
2011/01/24 17:43:40	5344.535	997	23392
2011/01/24 17:44:00	6233.85	992	23356
2011/01/24 17:44:20	5195.094	997	24402
2011/01/24 17:44:40	5652.758	1018	26494
2011/01/24 17:45:00	6033.325	1019	27546
2011/01/24 17:45:20	5750.58	1019	22930
2011/01/24 17:45:40	5094.357	1020	23081
2011/01/24 17:46:00	5544.064	1017	24391
2011/01/24 17:46:20	5931.222	1019	22839
2011/01/24 17:46:40	5012.27	1018	22061
2011/01/24 17:47:00	5820.176	1019	24716
2011/01/24 17:47:20	5119.957	1018	22574
2011/01/24 17:47:40	5613.551	1019	25223
2011/01/24 17:48:00	5755.845	1019	27162
2011/01/24 17:48:20	5601.35	989	22720
2011/01/24 17:48:40	5156.545	1019	22469
2011/01/24 17:49:00	5878.74	1019	22634
2011/01/24 17:49:20	5461.923	1018	22423
2011/01/24 17:49:40	4938.132	1019	22461
2011/01/24 17:50:00	5801.727	1020	22935
2011/01/24 17:50:20	5625.636	1019	23812
2011/01/24 17:50:40	5387.677	1019	24430
2011/01/24 17:51:00	4850.147	1019	22017
2011/01/24 17:51:20	5729.923	1019	23802
2011/01/24 17:51:40	5471.261	1012	22050
2011/01/24 17:52:00	5471.806	1018	22849
2011/01/24 17:52:20	4787.179	1018	23053
2011/01/24 17:52:40	5588.94	1019	22304
2011/01/24 17:53:00	5534.922	1019	22182
2011/01/24 17:53:20	5421.031	1019	22627
2011/01/24 17:53:40	5381.409	1019	23187
2011/01/24 17:54:00	5633.703	1019	23567
2011/01/24 17:54:20	5316.796	1019	22276
2011/01/24 17:54:40	5400.064	1018	23576
2011/01/24 17:55:00	5802.405	1019	22206
2011/01/24 17:55:20	5251.974	1019	22066
2011/01/24 17:55:40	5169.225	1018	22375
2011/01/24 17:56:00	5921.976	1018	22257
2011/01/24 17:56:20	4965.113	1018	22495
2011/01/24 17:56:40	5797.09	1002	22857
2011/01/24 17:57:00	5788.662	1019	25301
2011/01/24 17:57:20	5035.846	1017	23152
2011/01/24 17:57:40	5776.976	1018	22620
2011/01/24 17:58:00	4735.529	1019	22939
2011/01/24 17:58:20	5530.315	1019	22664
2011/01/24 17:58:40	5741.204	1018	22240
2011/01/24 17:59:00	5100.359	1007	22857
2011/01/24 17:59:20	5691.786	1019	21929
2011/01/24 17:59:40	5270.97	1019	21820
2011/01/24 18:00:00	5449.099	1019	22903
2011/01/24 18:00:20	5691.062	1018	23157
2011/01/24 18:00:40	5771.204	1016	22106
2011/01/24 18:01:00	4928.545	1016	22269
2011/01/24 18:01:20	5320.649	1014	21758
2011/01/24 18:01:40	5100.262	1019	22699
2011/01/24 18:02:00	5523.745	1019	22738
2011/01/24 18:02:20	5153.051	1018	22541
2011/01/24 18:02:40	5192.444	1019	21702
2011/01/24 18:03:00	5740.471	1019	22629
2011/01/24 18:03:20	6346.513	1018	22690
2011/01/24 18:03:40	4329.701	1001	24481
2011/01/24 18:04:00	5956.044	1020	22971
2011/01/24 18:04:20	5407.761	1018	21656
2011/01/24 18:04:40	5447.914	1017	22097
2011/01/24 18:05:00	4956.851	1017	22494
2011/01/24 18:05:20	5707.994	1010	22326
2011/01/24 18:05:40	5801.611	1019	21898
2011/01/24 18:06:00	4511.239	1018	22030
2011/01/24 18:06:20	5719.231	1018	22438
2011/01/24 18:06:40	5711.066	1018	22986
2011/01/24 18:07:00	4741.43	1018	23623
2011/01/24 18:07:20	5367.694	1018	22358
2011/01/24 18:07:40	5444.561	1021	22715
2011/01/24 18:08:00	5570.66	1017	22344
2011/01/24 18:08:20	5441.23	1018	21915
2011/01/24 18:08:40	5152.245	989	21990
2011/01/24 18:09:00	5438.222	1019	22882
2011/01/24 18:09:20	5350.25	1018	22269
2011/01/24 18:09:40	5069.348	1008	21956
2011/01/24 18:10:00	5224.625	1019	22273
2011/01/24 18:10:20	5827.698	1005	23038
2011/01/24 18:10:40	5303.868	1019	23443
2011/01/24 18:11:00	5840.141	1018	22120
2011/01/24 18:11:20	5023.369	1019	22005
2011/01/24 18:11:40	5188.519	1019	21981
2011/01/24 18:12:00	5423.981	1019	21889
2011/01/24 18:12:20	5228.868	1005	22027
2011/01/24 18:12:40	5436.353	1017	21845
2011/01/24 18:13:00	5259.289	1016	23241
2011/01/24 18:13:20	5061.167	1019	22607
2011/01/24 18:13:40	5750.89	1019	23200
2011/01/24 18:14:00	5512.007	1018	22393
2011/01/24 18:14:20	5505.357	1013	22893
2011/01/24 18:14:40	5169.033	1019	22150
2011/01/24 18:15:00	5400.521	1019	21852
2011/01/24 18:15:20	5323.045	1019	21880
2011/01/24 18:15:40	5386.155	1018	23068
2011/01/24 18:16:00	5382.581	1019	22038
2011/01/24 18:16:20	5507.026	1019	22493
2011/01/24 18:16:40	5419.577	1019	22124
2011/01/24 18:17:00	5096.368	1018	22404
2011/01/24 18:17:20	5671.738	1013	23387
2011/01/24 18:17:40	5456.699	1014	22022
2011/01/24 18:18:00	5342.994	1018	21741
2011/01/24 18:18:20	5479.662	1018	23080
2011/01/24 18:18:40	5207.319	1004	22005
2011/01/24 18:19:00	4943.908	1015	21917
2011/01/24 18:19:20	5774.051	1019	21648
2011/01/24 18:19:40	5189.893	1018	22207
2011/01/24 18:20:00	4828.325	1018	21789
2011/01/24 18:20:20	5720.277	1019	22482
2011/01/24 18:20:40	5448.526	1019	22408
2011/01/24 18:21:00	5156.507	1019	21755
2011/01/24 18:21:20	5345.14	1002	21842
2011/01/24 18:21:40	5088.058	1019	22547
2011/01/24 18:22:00	5263.627	1019	22081
2011/01/24 18:22:20	5566.475	1019	22120
2011/01/24 18:22:40	5631.524	1018	22119
2011/01/24 18:23:00	5105.695	1019	22317
2011/01/24 18:23:20	4957.69	1019	22750
2011/01/24 18:23:40	5958.462	1018	22046
2011/01/24 18:24:00	5570.767	1019	23823
2011/01/24 18:24:20	5409.293	1019	22280
2011/01/24 18:24:40	4952.304	1014	22497
2011/01/24 18:25:00	5295.693	1019	22137
2011/01/24 18:25:20	5073.859	1019	21735
2011/01/24 18:25:40	6079.476	1018	22360
2011/01/24 18:26:00	4930.057	1018	22213
2011/01/24 18:26:20	5784.093	1019	21927
2011/01/24 18:26:40	4752.327	1018	22470
2011/01/24 18:27:00	5480.795	1018	23468
2011/01/24 18:27:20	5590.945	1019	22666
2011/01/24 18:27:40	5447.379	1017	21874
2011/01/24 18:28:00	5036	1012	22205
2011/01/24 18:28:20	5375.191	1019	22412
2011/01/24 18:28:40	5539.273	1019	22629
2011/01/24 18:29:00	5211.781	1018	21919
2011/01/24 18:29:20	5388.19	1018	21891
2011/01/24 18:29:40	5318.352	1019	21761
2011/01/24 18:30:00	5287.32	1018	22761
2011/01/24 18:30:20	5807.131	1019	22275
2011/01/24 18:30:40	5731.16	1019	24428
2011/01/24 18:31:00	4657.057	1018	22705
2011/01/24 18:31:20	5523.76	1019	21920
2011/01/24 18:31:40	5493.22	1019	22598
2011/01/24 18:32:00	5273.994	1018	21915
2011/01/24 18:32:20	5561.702	1018	22452
2011/01/24 18:32:40	5514.057	1019	21705
2011/01/24 18:33:00	5491.743	1019	21808
2011/01/24 18:33:20	5318.192	1018	21904
2011/01/24 18:33:40	4903.719	1019	23025
2011/01/24 18:34:00	5444.258	1019	23007
2011/01/24 18:34:20	5287.798	1019	21759
2011/01/24 18:34:40	5488.753	1018	22164
2011/01/24 18:35:00	5083.528	1018	22851
2011/01/24 18:35:20	5327.825	983	22301
2011/01/24 18:35:40	6086.264	1019	22344
2011/01/24 18:36:00	4897.23	1005	22066
2011/01/24 18:36:20	5158.981	1013	22519
2011/01/24 18:36:40	5439.884	1019	21998
2011/01/24 18:37:00	5619.987	1019	22175
2011/01/24 18:37:20	5201.459	1019	23660
2011/01/24 18:37:40	5692.805	1019	22092
2011/01/24 18:38:00	5110.728	1019	23462
2011/01/24 18:38:20	5716.222	1019	21819
2011/01/24 18:38:40	4605.787	1018	22729
2011/01/24 18:39:00	6084.582	1019	22775
2011/01/24 18:39:20	5031.888	1018	21651
2011/01/24 18:39:40	5046.909	1019	22114
2011/01/24 18:40:00	5849.564	1019	21994
2011/01/24 18:40:20	5829.928	1019	23129
2011/01/24 18:40:40	5191.293	1016	25496
2011/01/24 18:41:00	5013.683	1017	22189
2011/01/24 18:41:20	5637.135	1016	21754
2011/01/24 18:41:40	5546.21	1016	22533
2011/01/24 18:42:00	5101.348	1018	22469
2011/01/24 18:42:20	5822.024	1019	21884
2011/01/24 18:42:40	4707.128	1018	21795
2011/01/24 18:43:00	5561.677	1017	22441
2011/01/24 18:43:20	5076.36	1019	22286
2011/01/24 18:43:40	5254.481	1011	22888
2011/01/24 18:44:00	5376.844	1017	22602
2011/01/24 18:44:20	5590.155	1019	23198
2011/01/24 18:44:40	5691.062	1019	22376
2011/01/24 18:45:00	5220.806	1019	22376
2011/01/24 18:45:20	4996.058	1001	21578
2011/01/24 18:45:40	5827.877	1018	21735
2011/01/24 18:46:00	5117.638	1018	22410
2011/01/24 18:46:20	5339.055	1018	21864
2011/01/24 18:46:40	5133.519	1018	22532
2011/01/24 18:47:00	5513.92	1009	22585
2011/01/24 18:47:20	5770.323	1006	23659
2011/01/24 18:47:40	5160.779	1018	23126
2011/01/24 18:48:00	5026.227	1018	21772
2011/01/24 18:48:20	5274.136	995	22222
2011/01/24 18:48:40	5497.026	1019	22076
2011/01/24 18:49:00	5467.685	1016	21729
2011/01/24 18:49:20	4837.409	1019	21865
2011/01/24 18:49:40	5858.897	1011	21756
2011/01/24 18:50:00	5182.314	1017	22178
2011/01/24 18:50:20	5546.013	1019	22123
2011/01/24 18:50:40	5078.654	1010	23087
