"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"11/05/2007";"9,94";"9,93";"10,15";"9,58";"81679800";
"18/05/2007";"10,06";"10,02";"10,12";"9,73";"79926096";
"25/05/2007";"10,27";"10,09";"10,71";"9,99";"87026200";
"01/06/2007";"10,4";"10,24";"10,5";"10,03";"60679100";
"08/06/2007";"9,87";"10,36";"10,4";"9,7";"109049800";
"15/06/2007";"10,12";"9,99";"10,24";"9,78";"97247800";
"22/06/2007";"10,41";"10,12";"10,52";"10,04";"92212800";
"29/06/2007";"10,38";"10,25";"10,46";"10,15";"56816500";
"06/07/2007";"10,58";"10,33";"10,73";"10,32";"53976600";
"13/07/2007";"10,28";"10,56";"10,65";"10,04";"90750600";
"20/07/2007";"9,9";"10,24";"10,39";"9,85";"76884800";
"27/07/2007";"9,52";"9,92";"10,08";"9,39";"104815000";
"03/08/2007";"8,37";"9,52";"9,66";"8,29";"206377296";
"10/08/2007";"8,04";"8,3";"8,68";"8,02";"160820608";
"17/08/2007";"7,73";"8,16";"8,18";"7,56";"130345000";
"24/08/2007";"8,07";"7,85";"8,18";"7,78";"70761400";
"31/08/2007";"8,03";"8,1";"8,11";"7,82";"61908400";
"07/09/2007";"7,43";"8,03";"8,11";"7,38";"93930000";
"14/09/2007";"6,5";"7,44";"7,52";"6,24";"225706704";
"21/09/2007";"6,45";"6,46";"6,57";"6,11";"136031104";
"28/09/2007";"7,2";"6,4";"7,49";"6,33";"128123296";
"05/10/2007";"7,15";"7,14";"7,41";"6,88";"97545600";
"12/10/2007";"7,07";"7,15";"7,17";"6,8";"72344400";
"19/10/2007";"6,52";"7,05";"7,05";"6,39";"109287200";
"26/10/2007";"6,51";"6,42";"6,75";"6,36";"83315400";
"02/11/2007";"6,27";"6,5";"6,91";"6,2";"102465800";
"09/11/2007";"5,62";"6,24";"6,26";"5,57";"96072600";
"16/11/2007";"5,52";"5,56";"5,95";"5,5";"94421904";
"23/11/2007";"5,09";"5,52";"5,59";"4,91";"117117600";
"30/11/2007";"5,58";"5,2";"5,66";"4,99";"116599400";
"07/12/2007";"5,5";"5,58";"5,64";"5,23";"89392896";
"14/12/2007";"5,44";"5,45";"5,71";"5,35";"105031904";
"21/12/2007";"5,18";"5,32";"5,33";"5,02";"120441296";
"28/12/2007";"4,98";"5,13";"5,25";"4,95";"30328600";
"04/01/2008";"4,8";"4,98";"5,15";"4,77";"56037000";
"11/01/2008";"4,53";"4,79";"4,83";"4,43";"114189104";
"18/01/2008";"4,71";"4,52";"4,88";"4,31";"133157296";
"25/01/2008";"4,32";"4,63";"4,68";"3,83";"255683008";
"01/02/2008";"4,27";"4,25";"4,4";"4,08";"112974096";
"08/02/2008";"4,14";"4,37";"4,42";"3,8";"191194704";
"15/02/2008";"4,12";"4,04";"4,31";"3,98";"89072304";
"22/02/2008";"4,04";"4,18";"4,19";"3,97";"78361296";
"29/02/2008";"3,91";"4,09";"4,43";"3,89";"106949400";
"07/03/2008";"3,61";"3,87";"3,9";"3,48";"97986600";
"14/03/2008";"3,42";"3,59";"3,61";"3,4";"99970600";
"21/03/2008";"3,38";"3,28";"3,46";"3,24";"87414304";
"28/03/2008";"3,6";"3,53";"3,71";"3,51";"66979300";
"04/04/2008";"4,01";"3,57";"4,08";"3,54";"82270304";
"11/04/2008";"3,745";"4,075";"4,14";"3,665";"94287600";
"18/04/2008";"3,945";"3,69";"3,99";"3,63";"84418800";
"25/04/2008";"4,32";"3,96";"4,43";"3,85";"105795400";
"02/05/2008";"4,51";"4,34";"4,58";"4,065";"101290304";
"09/05/2008";"4,565";"4,49";"4,675";"4,39";"60724400";
"16/05/2008";"4,88";"4,545";"4,975";"4,53";"82979104";
"23/05/2008";"4,465";"4,83";"4,855";"4,465";"85849104";
"30/05/2008";"4,86";"4,47";"4,9";"4,44";"88703000";
"06/06/2008";"4,565";"4,83";"4,91";"4,565";"78797504";
"13/06/2008";"4,29";"4,5";"4,54";"4,08";"89570200";
"20/06/2008";"4,025";"4,38";"4,575";"3,975";"101277200";
"27/06/2008";"3,775";"4,07";"4,115";"3,76";"93623000";
"04/07/2008";"3,645";"3,83";"3,89";"3,52";"90267904";
"11/07/2008";"3,38";"3,69";"3,845";"3,37";"115081104";
"18/07/2008";"3,75";"3,43";"3,83";"3,29";"120252200";
"25/07/2008";"3,945";"3,775";"3,98";"3,625";"95442896";
"01/08/2008";"3,89";"3,92";"4,06";"3,79";"127639696";
"08/08/2008";"4,145";"3,88";"4,23";"3,86";"90582000";
"15/08/2008";"4,195";"4,17";"4,41";"4,05";"71212096";
"22/08/2008";"3,96";"4,19";"4,19";"3,74";"76752400";
"29/08/2008";"4,15";"3,97";"4,42";"3,86";"139576896";
"05/09/2008";"3,66";"4,17";"4,317";"3,633";"160673600";
"12/09/2008";"3,575";"3,866";"3,895";"3,48";"103704800";
"19/09/2008";"3,002";"3,45";"3,598";"2,921";"252966208";
"26/09/2008";"2,929";"3";"3,13";"2,842";"143915296";
"03/10/2008";"2,67";"2,93";"2,991";"2,521";"141050000";
"10/10/2008";"1,708";"2,534";"2,559";"1,631";"195881600";
"17/10/2008";"1,885";"1,99";"2,35";"1,67";"209377296";
"24/10/2008";"1,62";"2,02";"2,129";"1,44";"154146096";
"31/10/2008";"2,01";"1,525";"2,1";"1,485";"192615008";
"07/11/2008";"2,131";"2,041";"2,488";"1,982";"159355696";
"14/11/2008";"1,783";"2,23";"2,24";"1,753";"104745696";
"21/11/2008";"1,482";"1,84";"1,972";"1,45";"157101904";
"28/11/2008";"1,668";"1,547";"1,745";"1,52";"119164200";
"05/12/2008";"1,509";"1,68";"1,689";"1,49";"112304600";
"12/12/2008";"1,636";"1,62";"1,978";"1,563";"176236304";
"19/12/2008";"1,569";"1,66";"1,738";"1,535";"115146704";
"26/12/2008";"1,52";"1,55";"1,584";"1,482";"30053600";
"02/01/2009";"1,587";"1,549";"1,591";"1,51";"28705600";
"09/01/2009";"1,653";"1,628";"1,809";"1,605";"107926304";
"16/01/2009";"1,509";"1,651";"1,674";"1,475";"98994800";
