date,open,close,high,low,volume
2012-05-04,577.0800,565.2500,578.3600,565.1700,18910600
2012-05-03,590.5000,581.8200,591.4000,580.3000,13932700
2012-05-02,580.2400,585.9800,587.4000,578.8600,15263900
2012-05-01,584.9000,582.1300,596.7600,581.2300,21798500
2012-04-30,597.8000,583.9800,598.4000,583.0000,18057200
2012-04-27,605.0700,603.0000,606.1800,600.5000,14525800
2012-04-26,614.2700,607.7000,614.6900,602.1300,19122300
2012-04-25,615.6400,610.0000,618.0000,606.0000,32313100
2012-04-24,562.6100,560.2800,567.6900,555.0000,38148600
2012-04-23,570.6100,571.7000,576.6700,556.6200,34500000
2012-04-20,591.3800,572.9800,594.6200,570.4200,36804900
2012-04-19,600.2200,587.4400,604.7300,584.5200,29777100
2012-04-18,613.7200,608.3400,620.2500,602.7100,34049200
2012-04-17,578.9400,609.7000,610.0000,571.9100,36599200
2012-04-16,610.0600,580.1300,610.2800,578.2500,37492500
2012-04-13,624.1100,605.2300,624.7000,603.5100,30685900
2012-04-12,625.0000,622.7700,631.3300,620.5000,21904200
2012-04-11,636.2000,626.2000,636.8700,623.3400,24853000
2012-04-10,639.9300,628.4400,644.0000,626.0000,31729200
2012-04-09,626.1300,636.2300,639.8400,625.3000,21323600
2012-04-05,626.9800,633.6800,634.6600,623.4000,22882400
2012-04-04,624.3500,624.3100,625.8600,617.0000,20435900
2012-04-03,627.3000,629.3200,632.2100,622.5100,29751900
2012-04-02,601.8300,618.6300,618.7700,600.3800,21325100
2012-03-30,608.7700,599.5500,610.5600,597.9400,26050900
2012-03-29,612.7800,609.8600,616.5600,607.2300,21668300
2012-03-28,618.3800,617.6200,621.4500,610.3100,23385200
2012-03-27,606.1800,614.4800,616.2800,606.0600,21628200
2012-03-26,599.7900,606.9800,607.1500,595.2600,21259900
2012-03-23,600.4900,596.0500,601.8000,594.4000,15359900
2012-03-22,597.7800,599.3400,604.5000,595.5300,22281100
2012-03-21,602.7400,602.5000,609.6500,601.4100,22958200
2012-03-20,599.5100,605.9600,606.9000,591.4800,29115000
2012-03-19,598.3700,601.1000,601.7700,589.0500,32110600
2012-03-16,584.7200,585.5700,589.2000,578.0000,29459700
2012-03-15,599.6100,585.5600,600.0100,578.5500,41383000
2012-03-14,578.0500,589.5800,594.7200,575.4000,50570100
2012-03-13,557.5400,568.1000,568.1800,555.7500,24610500
2012-03-12,548.9800,552.0000,552.0000,547.0000,14477800
2012-03-09,544.2100,545.1700,547.7400,543.1100,14943500
2012-03-08,534.6900,541.9900,542.9900,532.1200,18392600
2012-03-07,536.8000,530.6900,537.7800,523.3000,28490300
2012-03-06,523.6600,530.2600,533.6900,516.2200,28899400
2012-03-05,545.4200,533.1600,547.4800,526.0000,28857200
2012-03-02,544.2400,545.1800,546.8000,542.5200,15382800
2012-03-01,548.1700,544.4700,548.2100,538.7700,24380200
2012-02-29,541.5600,542.4400,547.6100,535.7000,33973800
2012-02-28,527.9600,535.4100,535.4100,525.8500,21398000
2012-02-27,521.3100,525.7600,528.5000,516.2800,19515700
2012-02-24,519.6700,522.4100,522.9000,518.6400,14824000
2012-02-23,515.0800,516.3900,517.8300,509.5000,20270400
2012-02-22,513.0800,513.0400,515.4900,509.0700,17243800
2012-02-21,506.8800,514.8500,514.8500,504.1200,21580400
2012-02-17,503.1100,502.1200,507.7700,500.3000,19112200
2012-02-16,491.5000,502.2100,504.8900,486.6300,33715100
2012-02-15,514.2600,497.6700,526.2900,496.8900,53706600
2012-02-14,504.6600,509.4600,509.5600,502.0000,16442800
2012-02-13,499.5300,502.6000,503.8300,497.0900,18454300
2012-02-10,490.9600,493.4200,497.6200,488.5500,22523900
2012-02-09,480.7600,493.1700,496.7500,480.5600,31527700
2012-02-08,470.5000,476.6800,476.7900,469.7000,14544700
2012-02-07,465.2500,468.8300,469.7500,464.5800,11280600
2012-02-06,458.3800,463.9700,464.9800,458.2000,8907600
2012-02-03,457.3000,459.6800,460.0000,455.5600,10235700
2012-02-02,455.9000,455.1200,457.1700,453.9800,6661100
2012-02-01,458.4100,456.1900,458.9900,455.5500,9624500
2012-01-31,455.5900,456.4800,458.2400,453.0700,13988700
2012-01-30,445.7100,453.0100,453.9000,445.3900,13531000
2012-01-27,444.3400,447.2800,448.4800,443.7700,10703900
2012-01-26,448.3600,444.6300,448.7900,443.1400,11570900
2012-01-25,454.4400,446.6600,454.4500,443.7300,34185200
2012-01-24,425.1000,420.4100,425.1000,419.5500,19226900
2012-01-23,422.6700,427.4100,428.4500,422.3000,10915800
2012-01-20,427.4900,420.3000,427.5000,419.7500,14758300
2012-01-19,430.1500,427.7500,431.3700,426.5100,9332700
2012-01-18,426.9600,429.1100,429.4700,426.3000,9872800
2012-01-17,424.2000,424.7000,425.9900,422.9600,8658700
2012-01-13,419.7000,419.8100,420.4500,418.6600,8072200
2012-01-12,422.2800,421.3900,422.9000,418.7500,7592400
2012-01-11,422.6800,422.5500,422.8500,419.3100,7681600
2012-01-10,425.9100,423.2400,426.0000,421.5000,9221300
2012-01-09,425.5000,421.7300,427.7500,421.3500,14060600
2012-01-06,419.7700,422.4000,422.7500,419.2200,11367600
2012-01-05,414.9500,418.0300,418.5500,412.6700,9675800
2012-01-04,410.0000,413.4400,414.6800,409.2800,9286500
2012-01-03,409.4000,411.2300,412.5000,409.0000,10793600
2011-12-30,403.5100,405.0000,406.2800,403.4900,6416500
2011-12-29,403.4000,405.1200,405.6500,400.5100,7713500
2011-12-28,406.8900,402.6400,408.2500,401.3400,8166500
2011-12-27,403.1000,406.5300,409.0900,403.0200,9467000
2011-12-23,399.6900,403.3300,403.5900,399.4900,9621400
2011-12-22,397.0000,398.5500,399.1300,396.1000,7209900
2011-12-21,396.6900,396.4500,397.3000,392.0100,9367000
2011-12-20,387.7600,395.9500,396.1000,387.2600,12043400
2011-12-19,382.4700,382.2100,384.8500,380.4800,8388500
2011-12-16,380.3600,381.0200,384.1500,379.5700,15052800
2011-12-15,383.3300,378.9400,383.7400,378.3100,9150000
2011-12-14,386.7000,380.1900,387.3800,377.6800,14531700
2011-12-13,393.0000,388.8100,395.4000,387.1000,12104600
2011-12-12,391.6800,391.8400,393.9000,389.4500,10693500
2011-12-09,392.8500,393.6200,394.0400,391.0300,10606900
2011-12-08,391.4500,390.6600,395.5000,390.2300,13428900
2011-12-07,389.9300,389.0900,390.9400,386.7600,10883800
2011-12-06,392.5100,390.9500,394.6300,389.3800,10128500
2011-12-05,393.4900,393.0100,396.4100,390.3900,12757500
2011-12-02,389.8300,389.7000,393.6300,388.5800,13537700
2011-12-01,382.5400,387.9300,389.0000,380.7500,13709400
2011-11-30,381.2900,382.2000,382.2800,378.3000,14497800
2011-11-29,375.8400,373.2000,378.8300,370.2000,13423400
2011-11-28,372.3500,376.1200,376.7200,370.3300,12371900
2011-11-25,368.4200,363.5700,371.1500,363.3200,9098600
2011-11-23,374.5100,366.9900,375.8400,366.8800,15295400
2011-11-22,371.0200,376.5100,377.9300,370.9400,14607900
2011-11-21,370.4000,369.0100,371.6800,365.9100,15999300
2011-11-18,378.9200,374.9400,379.9900,374.8800,13283500
2011-11-17,383.9800,377.4100,384.5800,375.5000,17139300
2011-11-16,389.2500,384.7700,391.1400,384.3200,12449900
2011-11-15,380.8000,388.8300,389.5000,379.4500,15386100
2011-11-14,383.5200,379.2600,385.2500,378.2000,15460900
2011-11-11,386.6100,384.6200,388.7000,380.2600,23338400
2011-11-10,397.0300,385.2200,397.2100,382.1500,26598300
2011-11-09,396.9700,395.2800,400.8900,394.2300,19926700
2011-11-08,402.2100,406.2300,408.0000,401.5600,14278400
2011-11-07,399.9100,399.7300,400.0000,396.1300,9641000
2011-11-04,402.0300,400.2400,403.4400,399.1600,10772400
2011-11-03,399.0700,403.0700,403.4000,395.3600,15763800
2011-11-02,400.0900,397.4100,400.4400,395.1100,11691100
2011-11-01,397.4100,396.5100,399.5000,393.2200,18974200
2011-10-31,402.4200,404.7800,409.3300,401.0500,13767900
2011-10-28,403.0000,404.9500,406.3500,402.5100,11515200
2011-10-27,407.5600,404.6900,409.0000,401.8900,17666600
2011-10-26,401.7600,400.6000,402.5500,393.1500,16279000
2011-10-25,405.0300,397.7700,406.5500,397.3800,15372400
2011-10-24,396.1800,405.7700,406.5000,395.4000,17933500
2011-10-21,398.1000,392.8700,399.1400,390.7500,22161600
2011-10-20,400.0000,395.3100,400.3500,394.2100,19616800
2011-10-19,401.3500,398.6200,408.4200,397.8000,39407100
2011-10-18,421.7600,422.2400,424.8100,415.9900,31232500
2011-10-17,421.7400,419.9900,426.7000,415.9400,24478400
2011-10-14,416.8300,422.0000,422.0000,415.2700,20450000
2011-10-13,404.9800,408.4300,408.4300,402.8500,15177900
2011-10-12,407.3400,402.1900,409.2500,400.1400,22206600
2011-10-11,392.5700,400.2900,403.1800,391.5000,21609800
2011-10-10,379.0900,388.8100,388.8100,378.2100,15769200
2011-10-07,375.7800,369.8000,377.7400,368.4900,19123500
2011-10-06,373.3300,377.3700,384.7800,371.8000,29008700
2011-10-05,367.8600,378.2500,379.8200,360.3000,28075700
2011-10-04,374.5700,372.5000,381.8000,354.2400,44035800
2011-10-03,380.3700,374.6000,382.6400,373.1700,23876300
2011-09-30,387.1200,381.3200,388.8900,381.1800,19558600
2011-09-29,401.9200,390.5700,402.2100,386.2100,23253100
2011-09-28,400.1900,397.0100,403.7400,396.5100,15344200
2011-09-27,408.7300,399.2600,409.2500,398.0600,22566600
2011-09-26,399.8600,403.1700,403.9800,391.3000,29015500
