DateTime	unixsysstat__zeushost-sys__UsedTime
06/11/2009 16:07:28.996	19
06/11/2009 16:07:31.954	11
06/11/2009 16:07:37.143	26
06/11/2009 16:07:41.962	38
06/11/2009 16:07:46.950	52
06/11/2009 16:07:51.945	31
06/11/2009 16:08:02.053	46
06/11/2009 16:08:07.256	52
06/11/2009 16:08:12.099	49
06/11/2009 16:08:16.989	60
06/11/2009 16:08:22.064	35
06/11/2009 16:08:27.087	25
06/11/2009 16:08:32.047	63
06/11/2009 16:08:37.025	39
06/11/2009 16:08:41.981	51
06/11/2009 16:08:46.999	40
06/11/2009 16:08:51.992	37
06/11/2009 16:08:57.001	41
06/11/2009 16:09:01.985	28
06/11/2009 16:09:07.006	21
06/11/2009 16:09:11.988	0
06/11/2009 16:09:17.008	2
06/11/2009 16:09:22.004	1
06/11/2009 16:09:27.012	0
06/11/2009 16:09:47.015	4
06/11/2009 16:09:52.009	5
06/11/2009 16:10:02.024	3
06/11/2009 16:10:07.019	1
06/11/2009 16:10:17.307	7
06/11/2009 16:10:22.034	2
06/11/2009 16:10:32.077	1
06/11/2009 16:10:42.042	5
06/11/2009 16:10:47.044	3
06/11/2009 16:10:52.033	1
06/11/2009 16:11:07.031	2
06/11/2009 16:11:12.037	1
06/11/2009 16:11:17.054	3
06/11/2009 16:11:22.053	1
06/11/2009 16:11:27.045	2
06/11/2009 16:11:32.057	19
06/11/2009 16:11:37.039	12
06/11/2009 16:11:42.061	11
06/11/2009 16:11:47.115	15
06/11/2009 16:11:52.051	36
06/11/2009 16:11:57.062	16
06/11/2009 16:12:02.052	22
06/11/2009 16:12:07.071	15
06/11/2009 16:12:12.369	12
06/11/2009 16:12:17.070	15
06/11/2009 16:12:22.148	22
06/11/2009 16:12:27.102	16
06/11/2009 16:12:32.092	11
06/11/2009 16:12:37.068	10
06/11/2009 16:12:42.078	14
06/11/2009 16:12:47.078	10
06/11/2009 16:12:52.065	7
06/11/2009 16:12:57.085	8
06/11/2009 16:13:07.093	7
06/11/2009 16:13:12.090	10
06/11/2009 16:13:17.094	18
06/11/2009 16:13:22.089	14
06/11/2009 16:13:27.098	12
06/11/2009 16:13:32.103	7
06/11/2009 16:13:37.103	25
06/11/2009 16:13:42.106	58
06/11/2009 16:13:47.121	40
06/11/2009 16:13:52.506	19
06/11/2009 16:13:57.120	13
06/11/2009 16:14:02.175	22
06/11/2009 16:14:07.186	26
06/11/2009 16:14:12.124	29
06/11/2009 16:14:17.633	38
06/11/2009 16:14:22.213	30
06/11/2009 16:14:27.224	17
06/11/2009 16:14:32.370	28
06/11/2009 16:14:37.222	22
06/11/2009 16:14:42.215	18
06/11/2009 16:14:47.238	15
06/11/2009 16:14:52.230	19
06/11/2009 16:14:57.225	18
06/11/2009 16:15:02.235	10
